"Nombre","UrlOriginal","PaginaEncontrada","Extension","TamanoBytes","TamanoKB","Resolucion","RutaLocal","FechaDescarga"
"5.DESCUBRIENDO-GUATEMALA-1.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0749/5.DESCUBRIENDO-GUATEMALA.jpg","https://www.galeriadeviajes.com",".jpg","862403","842.19","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\5.DESCUBRIENDO-GUATEMALA-1.jpg","7/27/2026 10:11:50 AM"
"4.LUCES-DE-EUROPA-1.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0774/4.LUCES-DE-EUROPA.jpg","https://www.galeriadeviajes.com",".jpg","633590","618.74","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\4.LUCES-DE-EUROPA-1.jpg","7/27/2026 10:11:51 AM"
"18.LIMA-Y-CUSCO-B_SICO-1.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0762/18.LIMA-Y-CUSCO-B_SICO.jpg","https://www.galeriadeviajes.com",".jpg","821197","801.95","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\18.LIMA-Y-CUSCO-B_SICO-1.jpg","7/27/2026 10:11:52 AM"
"8.DUBAI-6-D_AS.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0752/8.DUBAI-6-D_AS.jpg","https://www.galeriadeviajes.com",".jpg","600003","585.94","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\8.DUBAI-6-D_AS.jpg","7/27/2026 10:11:53 AM"
"10.SURAMERICA.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0780/10.SURAMERICA.jpg","https://www.galeriadeviajes.com",".jpg","544993","532.22","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\10.SURAMERICA.jpg","7/27/2026 10:11:54 AM"
"16.EUROPA-EXQUISITA.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0760/16.EUROPA-EXQUISITA.jpg","https://www.galeriadeviajes.com",".jpg","640856","625.84","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\16.EUROPA-EXQUISITA.jpg","7/27/2026 10:11:56 AM"
"14.EUROPA-EN-BREVE-1.jpg","https://www.galeriadeviajes.com/banner/image_es/0000/0758/14.EUROPA-EN-BREVE.jpg","https://www.galeriadeviajes.com",".jpg","428982","418.93","1200 x 703","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\14.EUROPA-EN-BREVE-1.jpg","7/27/2026 10:11:57 AM"
"trabax-logo-1.png","https://www.galeriadeviajes.com/files/2/images/trabax-logo.png","https://www.galeriadeviajes.com",".png","26193","25.58","598 x 250","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\trabax-logo-1.png","7/27/2026 10:11:57 AM"
"EuroRutas-1.png","https://www.galeriadeviajes.com/files/2/images/EuroRutas.png","https://www.galeriadeviajes.com",".png","4819","4.71","206 x 40","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\EuroRutas-1.png","7/27/2026 10:11:58 AM"
"mapa_plus-logo-1.png","https://www.galeriadeviajes.com/files/2/images/mapa_plus-logo.png","https://www.galeriadeviajes.com",".png","15761","15.39","689 x 166","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\mapa_plus-logo-1.png","7/27/2026 10:11:58 AM"
"galeria_dynamics-logo-1.png","https://www.galeriadeviajes.com/files/2/images/galeria_dynamics-logo.png","https://www.galeriadeviajes.com",".png","15061","14.71","598 x 250","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\galeria_dynamics-logo-1.png","7/27/2026 10:11:59 AM"
"wamos-logo-1.png","https://www.galeriadeviajes.com/files/2/images/wamos-logo.png","https://www.galeriadeviajes.com",".png","7022","6.86","598 x 250","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\wamos-logo-1.png","7/27/2026 10:11:59 AM"
"europaparatodos-1.png","https://www.galeriadeviajes.com/files/2/images/europaparatodos.png","https://www.galeriadeviajes.com",".png","6100","5.96","327 x 132","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\europaparatodos-1.png","7/27/2026 10:12:00 AM"
"mapaplus_logo-1.png","https://www.galeriadeviajes.com/files/2/images/mapaplus_logo.png","https://www.galeriadeviajes.com",".png","4515","4.41","210 x 70","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\mapaplus_logo-1.png","7/27/2026 10:12:00 AM"
"GALERI%CC%81A-DYNAMICS-LOGO-1.png","https://www.galeriadeviajes.com/files/2/images/GALERI%CC%81A-DYNAMICS-LOGO.png","https://www.galeriadeviajes.com",".png","150744","147.21","3159 x 1869","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\GALERI%CC%81A-DYNAMICS-LOGO-1.png","7/27/2026 10:12:01 AM"
"europe-1.jpg","https://www.galeriadeviajes.com/files/2/images/europe.jpg","https://www.galeriadeviajes.com",".jpg","232206","226.76","500 x 334","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\europe-1.jpg","7/27/2026 10:12:01 AM"
"asia-1.jpg","https://www.galeriadeviajes.com/files/2/images/asia.jpg","https://www.galeriadeviajes.com",".jpg","205994","201.17","500 x 334","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\asia-1.jpg","7/27/2026 10:12:02 AM"
"close-envelope-1.png","https://www.galeriadeviajes.com/files/2/images/close-envelope.png","https://www.galeriadeviajes.com",".png","594","0.58","24 x 24","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\close-envelope-1.png","7/27/2026 10:12:03 AM"
"call-answer-1.png","https://www.galeriadeviajes.com/files/2/images/call-answer.png","https://www.galeriadeviajes.com",".png","578","0.56","24 x 24","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\call-answer-1.png","7/27/2026 10:12:03 AM"
"schedule-button-1.png","https://www.galeriadeviajes.com/files/2/images/schedule-button.png","https://www.galeriadeviajes.com",".png","607","0.59","24 x 24","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\schedule-button-1.png","7/27/2026 10:12:03 AM"
"footerdiv-1.png","https://www.galeriadeviajes.com/files/2/images/footerdiv.png","https://www.galeriadeviajes.com",".png","992","0.97","400 x 10","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\footerdiv-1.png","7/27/2026 10:12:04 AM"
"travel_planner_1.jpg","https://www.galeriadeviajes.com/files/2/images/travel_planner_1.jpg","https://www.galeriadeviajes.com/es/forms/request_itinerary",".jpg","27381","26.74","340 x 508","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\travel_planner_1.jpg","7/27/2026 10:12:07 AM"
"travel_planner_2.jpg","https://www.galeriadeviajes.com/files/2/images/travel_planner_2.jpg","https://www.galeriadeviajes.com/es/forms/request_itinerary",".jpg","49191","48.04","340 x 508","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\travel_planner_2.jpg","7/27/2026 10:12:08 AM"
"travel_planner_3.jpg","https://www.galeriadeviajes.com/files/2/images/travel_planner_3.jpg","https://www.galeriadeviajes.com/es/forms/request_itinerary",".jpg","41954","40.97","340 x 508","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\travel_planner_3.jpg","7/27/2026 10:12:08 AM"
"13.EUROPA-EN-BANDEJA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8229/medium_screen/13.EUROPA-EN-BANDEJA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","224072","218.82","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\13.EUROPA-EN-BANDEJA-INSIDE.jpg","7/27/2026 10:12:10 AM"
"14.EUROPA-EN-BREVE-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8230/medium_screen/14.EUROPA-EN-BREVE-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","119979","117.17","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\14.EUROPA-EN-BREVE-INSIDE.jpg","7/27/2026 10:12:11 AM"
